Sample Type	CH4 gas age years AD	CH4 (ppb)	CH4 (ppb) - NOAA04 Scale																																				
DSS	1	647.6	655.5																																				
DSS	31	633.9	641.6																																				
DSS	57	628.4	636.1																																			
DSS	105	632.0	639.7																																				
DSS	137	638.8	646.6																																				
DSS	169	640.9	648.7																																				
DSS	203	640.8	648.6																																				
DSS	229	632.0	639.7																																				
DSS	275	626.9	634.5																																				
DSS	303	624.1	631.7																																				
DSS	330	619.4	627.0																																				
DSS	366	620.8	628.3																																				
DSS	429	636.3	644.0																																				
DSS	462	639.3	647.1																																				
DSS	501	659.8	667.8																																				
DSS	538	657.3	665.4																																				
DSS	573	652.0	660.0																																				
DSS	597	645.3	653.2																																				
DSS	633	633.6	641.3																																				
DSS	669	642.0	649.9																																				
DSS	699	649.7	657.6																																				
DSS	731	649.7	657.7																																				
DSS	765	643.4	651.3																																				
DSS	800	642.6	650.4																																				
DSS	831	657.4	665.4																																				
DSS	858	657.3	665.3																																				
DSS	898	647.1	655.0																																				
DSS	945	647.4	655.3																																				
DSS	969	654.0	662.0																																				
DSS	1005	661.2	669.3																																				
DSS	1026	679.9	688.2																																				
DSS	1059	671.6	679.8																																				
DSS	1106	675.9	684.1																																				
DSS	1161	688.6	697.0																																				
DSS	1208	677.9	686.2																																				
DSS	1259	669.3	677.5																																				
DSS	1277	686.2	694.5																																				
DSS	1307	688.8	697.2																																				
DSS	1351	668.5	676.6																																				
DSS	1358	667.3	675.4																																				
DSS	1412	664.7	672.9																																				
DSS	1430	685.7	694.0																																				
DSS	1460	681.7	690.0																																				
DSS	1507	699.8	708.3																																				
DSS	1536	699.9	708.5																																				
DSS	1561	713.4	722.1																																				
DSS	1589	672.8	681.0																																				
DSS	1611	679.3	687.6																																				
DSS	1630	684.4	692.8																																				
DSS	1641	687.1	695.4																																				
DSS	1668	681.2	689.5																																				
DSS	1691	684.6	693.0																																				
DSS	1724	675.5	683.8																																				
DSS	1735	703.2	711.8																																				
DSS	1744	706.4	715.0																																				
DSS	1750	692.9	701.3																																				
DSS	1753	697.8	706.3																																				
DSS	1764	706.1	714.7																																				
DSS	1775	720.8	729.6																																				
DSS	1782	718.6	727.4																																				
DSS	1785	723.0	731.8																																				
DSS	1795	717.8	726.6																																				
DSS	1801	730.2	739.2																																				
DSS	1815	736.4	745.4																																				
DSS	1821	738.7	747.8																																				
DSS	1827	751.6	760.7																																				
DE08	1835	750.6	759.7																																				
DSS	1836	767.3	776.7																																				
DSS	1839	765.0	774.3																																				
DE08	1842	766.9	776.3																																				
DE08-2	1845	778.0	787.5																																				
DE08	1847	769.0	778.4																																				
DE08	1847	770.4	779.8																																				
DE08-2	1850	806.5	816.4																																				
DSS	1853	775.4	784.8																																				
DE08	1855	786.4	796.0																																				
DE08	1860	786.2	795.8																																				
DE08	1865	804.1	813.9																																				
DE08	1868	815.8	825.8																																				
DSS	1870	802.1	811.9																																				
DE08	1874	817.0	826.9																										
DE08	1875	822.1	832.1																										
DE08	1885	837.2	847.5																										
DSS	1885	845.7	856.0																										
DE08	1887	841.6	851.8																										
DE08	1890	843.5	853.8																										
DE08	1890	844.0	854.3																										
DE08	1895	857.4	867.9																										
DE08-2	1897	850.7	861.1																										
DE08	1900	862.4	872.9																										
DE08	1900	869.0	879.6																										
DE08	1903	867.0	877.6																										
DE08	1903	868.7	879.2																										
DE08	1905	884.5	895.3																										
DE08	1910	934.5	945.9																										
DE08	1913	916.2	927.4																										
DE08	1915	916.7	927.9																										
DE08	1915	925.5	936.8																										
DE08	1920	959.3	971.0																										
DE08	1920	960.8	972.5																										
DE08	1924	980.2	992.1																										
DE08	1925	993.1	1005.2																										
DE08	1930	1014.7	1027.1																										
DE08	1930	1011.6	1023.9																										
DE08	1934	1029.0	1041.5																										
DE08	1936	1040.9	1053.6																										
DE08	1938	1052.4	1065.3																										
DE08	1939	1058.2	1071.2																										
DE08	1939	1059.1	1072.0																										
DE08	1940	1063.3	1076.3																										
DE08-2	1941	1060.1	1073.0																										
DE08	1942	1072.8	1085.9																										
DE08-2	1943	1085.5	1098.7																										
DE08	1943	1069.5	1082.5																										
DE08	1943	1071.1	1084.2																										
DE08	1944	1075.6	1088.7																										
DE08	1944	1075.7	1088.8																										
DSSW20K	1944.2	1072.3	1085.4																										
DE08-2	1945	1072.9	1086.0																										
DE08-2	1945	1079.9	1093.0																										
DE08	1945	1076.6	1089.7																										
DE08	1946	1082.8	1096.0																										
DE08	1947	1080.5	1093.7																										
DE08-2	1948	1094.4	1107.7																										
DE08	1948	1090.9	1104.2																										
DE08	1948	1091.5	1104.9																										
DE08	1949	1097.5	1110.9																										
DE08	1950	1108.5	1122.0																										
DE08	1951	1106.5	1120.0																										
DE08	1953	1130.2	1144.0																										
DE08	1953	1131.0	1144.8																										
DE08	1954	1137.6	1151.5																										
DE08	1955	1139.5	1153.4																										
DE08	1956	1151.1	1165.2																										
DE08	1956	1162.2	1176.4																										
DE08	1958	1174.0	1188.3																										
DSSW20K	1958.3	1177.1	1191.5																										
DE08	1959	1191.7	1206.2																										
DE08	1960	1205.9	1220.6																										
DE08	1965	1260.7	1276.1																										
DE08-2	1968	1306.6	1322.5																										
DSSW20K	1972.1	1352.3	1368.8																										
DE08-2	1974	1404.6	1421.7																										
DE08	1974	1399.6	1416.6																										
DSSW20K	1985.8	1568.9	1588.0																																				
DSSW20K	1991.5	1643.5	1663.6																																				
DSSW20K	1993.6	1662.8	1683.1																																				
DSSW20K	1995.3	1681.6	1702.1																																				
																																							
Sample Type	CO2 gas age years AD	CO2 (ppm)																																					
DSS	1	276.7																																					
DSS	30	277.9																																					
DSS	56	277.4																																					
DSS	104	277.5																																					
DSS	136	278.1																																					
DSS	168	280.1																																					
DSS	202	280.7																																					
DSS	228	281.5																																					
DSS	274	280.1																																					
DSS	302	279.8																																					
DSS	329	278.9																																					
DSS	365	277.0																																					
DSS	428	276.9																																					
DSS	461	276.7																																					
DSS	500	276.4																																					
DSS	537	276.0																																					
DSS	572	277.6																																					
DSS	596	276.9																																					
DSS	632	278.3																																					
DSS	668	279.4																																					
DSS	698	279.7																																					
DSS	730	278.5																																					
DSS	764	278.5																																					
DSS	799	278.5																																					
DSS	857	279.3																																					
DSS	897	278.9																																					
DSS	944	279.1																																					
DSS	968	278.5																																					
DSS	1005	280.5																																					
DSS	1025	280.8																																					
DSS	1058	282.8																																					
DSS	1105	282.8																																					
DSS	1160	283.9																																					
DSS	1207	283.6																																					
DSS	1258	282.1																																					
DSS	1276	281.1																																					
DSS	1306	281.5																																					
DSS	1350	280.1																																					
DSS	1411	279.6																																					
DSS	1429	279.5																																					
DSS	1431	282.5																																					
DSS	1560	281.7																																					
DSS	1588	281.0																								
DSS	1610	271.8																								
DSS	1629	274.5																								
DSS	1640	276.6																								
DSS	1690	276.3																								
DSS	1723	276.9																								
DSS	1734	278.2																								
DSS	1743	276.7																								
DSS	1752	276.4																								
DSS	1763	276.3																								
DSS	1774	277.8																								
DSS	1781	276.8																								
DSS	1794	281.5																								
DSS	1800	281.1																								
DSS	1814	284.3																								
