level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1980	1530	-1	
2	1	1	0	0	0	0	91	1669	795	-1	
3	1	1	1	0	0	0	91	1669	795	-1	
4	1	1	1	1	0	0	91	277	41	-1	
5	1	1	1	1	1	0	91	277	41	95	 
4	1	1	1	2	0	0	132	296	217	-1	
5	1	1	1	2	1	0	132	296	217	95	   
4	1	1	1	3	0	0	349	248	30	-1	
5	1	1	1	3	1	0	349	248	30	95	   
4	1	1	1	4	0	0	379	258	30	-1	
5	1	1	1	4	1	0	379	258	30	95	 
4	1	1	1	5	0	0	409	268	28	-1	
5	1	1	1	5	1	0	409	268	28	95	 
4	1	1	1	6	0	0	437	1150	21	-1	
5	1	1	1	6	1	0	437	272	21	95	 
5	1	1	1	6	2	564	437	586	21	95	 
4	1	1	1	7	0	0	458	1234	36	-1	
5	1	1	1	7	1	0	458	1234	36	95	     
4	1	1	1	8	0	94	494	1140	29	-1	
5	1	1	1	8	1	94	494	1140	29	95	 
4	1	1	1	9	0	98	523	1136	28	-1	
5	1	1	1	9	1	98	523	1136	28	95	 
4	1	1	1	10	0	110	551	1124	29	-1	
5	1	1	1	10	1	110	551	1124	29	95	 
4	1	1	1	11	0	124	580	1094	29	-1	
5	1	1	1	11	1	124	580	1094	29	95	 
4	1	1	1	12	0	138	609	1114	25	-1	
5	1	1	1	12	1	138	609	1114	25	95	 
4	1	1	1	13	0	710	634	542	32	-1	
5	1	1	1	13	1	710	634	542	32	95	 
4	1	1	1	14	0	730	666	522	20	-1	
5	1	1	1	14	1	730	666	522	20	95	   
4	1	1	1	15	0	1028	686	172	25	-1	
5	1	1	1	15	1	1028	686	172	25	95	 
4	1	1	1	16	0	1046	711	152	30	-1	
5	1	1	1	16	1	1046	711	152	30	95	 
4	1	1	1	17	0	198	741	1471	31	-1	
5	1	1	1	17	1	198	741	586	31	95	  
5	1	1	1	17	2	1056	741	613	31	95	  
4	1	1	1	18	0	212	772	554	22	-1	
5	1	1	1	18	1	212	772	554	22	95	 
4	1	1	1	19	0	226	794	960	40	-1	
5	1	1	1	19	1	226	794	960	40	95	  
4	1	1	1	20	0	260	834	448	20	-1	
5	1	1	1	20	1	260	834	448	20	95	 
4	1	1	1	21	0	304	854	396	32	-1	
5	1	1	1	21	1	304	854	396	32	95	  
2	1	2	0	0	0	277	101	214	21	-1	
3	1	2	1	0	0	277	101	214	21	-1	
4	1	2	1	1	0	277	101	214	21	-1	
5	1	2	1	1	1	277	101	9	14	91	d
5	1	2	1	1	2	292	102	59	20	96	Space
5	1	2	1	1	3	358	103	133	15	95	Administration
2	1	3	0	0	0	540	163	628	71	-1	
3	1	3	1	0	0	540	163	628	71	-1	
4	1	3	1	1	0	540	163	628	71	-1	
5	1	3	1	1	1	540	163	181	56	87	eartns
5	1	3	1	1	2	743	177	194	56	94	energy
5	1	3	1	1	3	953	163	215	71	65	budget
2	1	4	0	0	0	1345	209	528	2	-1	
3	1	4	1	0	0	1345	209	528	2	-1	
4	1	4	1	1	0	1345	209	528	2	-1	
5	1	4	1	1	1	1345	209	528	2	95	 
2	1	5	0	0	0	1353	227	498	82	-1	
3	1	5	1	0	0	1353	227	498	82	-1	
4	1	5	1	1	0	1353	227	498	24	-1	
5	1	5	1	1	1	1353	227	42	19	93	The
5	1	5	1	1	2	1412	227	76	19	92	Earth’s
5	1	5	1	1	3	1503	232	76	19	96	energy
5	1	5	1	1	4	1595	227	80	24	96	budget
5	1	5	1	1	5	1690	227	110	19	96	describes
5	1	5	1	1	6	1815	227	36	19	96	the
4	1	5	1	2	0	1353	256	498	24	-1	
5	1	5	1	2	1	1353	256	82	19	96	various
5	1	5	1	2	2	1448	256	59	19	96	kinds
5	1	5	1	2	3	1520	256	41	19	96	and
5	1	5	1	2	4	1574	257	99	18	96	amounts
5	1	5	1	2	5	1686	256	21	19	96	of
5	1	5	1	2	6	1719	260	76	20	96	energy
5	1	5	1	2	7	1807	256	44	19	96	that
4	1	5	1	3	0	1354	284	496	25	-1	
5	1	5	1	3	1	1354	285	57	19	96	enter
5	1	5	1	3	2	1418	284	41	20	96	and
5	1	5	1	3	3	1468	284	58	20	96	leave
5	1	5	1	3	4	1532	284	36	20	96	the
5	1	5	1	3	5	1576	284	57	20	97	Earth
5	1	5	1	3	6	1641	285	86	24	96	system.
5	1	5	1	3	7	1737	284	12	19	94	It
5	1	5	1	3	8	1757	284	93	20	96	includes
2	1	6	0	0	0	286	306	1565	123	-1	
3	1	6	1	0	0	286	306	1565	118	-1	
4	1	6	1	1	0	519	306	1330	32	-1	
5	1	6	1	1	1	519	306	106	23	96	reflected
5	1	6	1	1	2	636	306	29	29	97	by
5	1	6	1	1	3	1354	313	50	20	96	both
5	1	6	1	1	4	1415	313	96	20	96	radiative
5	1	6	1	1	5	1520	314	143	23	96	components
5	1	6	1	1	6	1673	313	53	25	96	(light
5	1	6	1	1	7	1736	313	41	20	96	and
5	1	6	1	1	8	1789	313	60	24	96	heat),
4	1	6	1	2	0	518	336	1333	30	-1	
5	1	6	1	2	1	518	336	82	23	93	clouds
5	1	6	1	2	2	609	337	18	22	93	&
5	1	6	1	2	3	851	336	106	23	96	reflected
5	1	6	1	2	4	968	336	29	29	90	by
5	1	6	1	2	5	1004	332	38	37	70	_
5	1	6	1	2	6	1052	336	53	23	96	total
5	1	6	1	2	7	1114	337	108	28	96	outgoing
5	1	6	1	2	8	1353	342	44	19	96	that
5	1	6	1	2	9	1404	347	40	14	96	can
5	1	6	1	2	10	1454	342	27	19	96	be
5	1	6	1	2	11	1489	342	111	19	96	measured
5	1	6	1	2	12	1610	342	26	24	96	by
5	1	6	1	2	13	1644	342	89	23	96	CERES,
5	1	6	1	2	14	1742	342	41	19	97	and
5	1	6	1	2	15	1792	342	59	19	96	other
4	1	6	1	3	0	286	363	1563	38	-1	
5	1	6	1	3	1	286	394	3	3	0	,
5	1	6	1	3	2	363	394	3	3	0	,
5	1	6	1	3	3	507	363	162	38	96	atmosphere
5	1	6	1	3	4	850	363	93	38	96	surface
5	1	6	1	3	5	1054	366	94	24	96	infrared
5	1	6	1	3	6	1158	367	107	23	96	radiation
5	1	6	1	3	7	1354	372	142	23	96	components
5	1	6	1	3	8	1514	371	36	19	96	like
5	1	6	1	3	9	1567	371	133	22	96	conduction,
5	1	6	1	3	10	1719	371	130	22	96	convection,
4	1	6	1	4	0	286	393	1565	36	-1	
5	1	6	1	4	1	286	394	112	35	92	Incoming
5	1	6	1	4	2	508	393	68	36	95	77.0
5	1	6	1	4	3	850	397	58	23	96	22.9
5	1	6	1	4	4	1040	393	87	36	56	PEK)
5	1	6	1	4	5	1354	400	41	19	96	and
5	1	6	1	4	6	1407	400	133	24	96	evaporation
5	1	6	1	4	7	1552	400	66	19	96	which
5	1	6	1	4	8	1630	400	46	19	97	also
5	1	6	1	4	9	1687	401	103	23	95	transport
5	1	6	1	4	10	1802	400	49	19	96	heat
2	1	7	0	0	0	564	409	574	28	-1	
3	1	7	1	0	0	564	409	574	28	-1	
4	1	7	1	1	0	564	409	574	28	-1	
5	1	7	1	1	1	564	409	574	28	95	   
2	1	8	0	0	0	285	424	177	53	-1	
3	1	8	1	0	0	285	424	177	53	-1	
4	1	8	1	1	0	285	424	177	23	-1	
5	1	8	1	1	1	285	420	32	36	38	So)
5	1	8	1	1	2	317	424	145	23	0	elaeeelteue
5	1	8	1	1	3	449	420	9	36	0	gl
4	1	8	1	2	0	286	455	72	22	-1	
5	1	8	1	2	1	348	455	10	22	27	|
2	1	9	0	0	0	1353	428	498	169	-1	
3	1	9	1	0	0	1353	428	498	169	-1	
4	1	9	1	1	0	1353	428	498	25	-1	
5	1	9	1	1	1	1353	428	51	20	93	from
5	1	9	1	1	2	1415	428	76	20	92	Earth’s
5	1	9	1	1	3	1501	428	89	20	96	surface.
5	1	9	1	1	4	1601	428	32	20	96	On
5	1	9	1	1	5	1643	433	96	20	96	average,
5	1	9	1	1	6	1750	428	41	20	96	and
5	1	9	1	1	7	1802	433	49	15	96	over
4	1	9	1	2	0	1353	457	497	25	-1	
5	1	9	1	2	1	1353	457	36	20	96	the
5	1	9	1	2	2	1399	457	47	25	96	long
5	1	9	1	2	3	1455	458	58	22	96	term,
5	1	9	1	2	4	1523	457	58	20	96	there
5	1	9	1	2	5	1591	457	17	20	96	is
5	1	9	1	2	6	1617	462	14	15	96	a
5	1	9	1	2	7	1640	457	89	20	96	balance
5	1	9	1	2	8	1739	458	20	19	96	at
5	1	9	1	2	9	1768	457	36	20	97	the
5	1	9	1	2	10	1813	458	37	23	96	top
4	1	9	1	3	0	1354	486	497	25	-1	
5	1	9	1	3	1	1354	486	21	19	96	of
5	1	9	1	3	2	1386	486	36	19	96	the
5	1	9	1	3	3	1434	486	141	24	96	atmosphere.
5	1	9	1	3	4	1588	486	43	19	96	The
5	1	9	1	3	5	1643	487	86	18	96	amount
5	1	9	1	3	6	1741	486	22	19	96	of
5	1	9	1	3	7	1774	491	77	20	96	energy
4	1	9	1	4	0	1354	514	497	25	-1	
5	1	9	1	4	1	1354	515	83	24	96	coming
5	1	9	1	4	2	1447	515	18	19	96	in
